step,id,x,y,vx,vy
0,0,0.5,0.5,0,0
0,1,0.68,0.5,0,0.18
30,0,0.500001,0.5,7.39933e-05,5.57768e-07
30,1,0.679874,0.502699,-0.016776,0.179877
60,0,0.500002,0.5,0.000147841,2.23373e-06
60,1,0.679497,0.505395,-0.0335635,0.179506
90,0,0.500005,0.5,0.000221467,5.03754e-06
90,1,0.678867,0.508083,-0.0503879,0.178885
120,0,0.500009,0.5,0.000294728,8.97583e-06
120,1,0.677985,0.51076,-0.0672605,0.178012
150,0,0.500014,0.5,0.000367499,1.40634e-05
150,1,0.676849,0.513422,-0.084196,0.176881
180,0,0.50002,0.500001,0.000439693,2.03266e-05
180,1,0.675458,0.516065,-0.101217,0.175482
210,0,0.500027,0.500001,0.000511158,2.77815e-05
210,1,0.673812,0.518685,-0.118331,0.173808
240,0,0.500035,0.500001,0.000581773,3.6457e-05
240,1,0.671908,0.521278,-0.135552,0.171851
270,0,0.500044,0.500002,0.000651499,4.64115e-05
270,1,0.669745,0.52384,-0.152908,0.169595
300,0,0.500055,0.500003,0.000720237,5.76792e-05
300,1,0.66732,0.526365,-0.170417,0.167027
330,0,0.500066,0.500004,0.000787873,7.02989e-05
330,1,0.664631,0.528849,-0.188092,0.16413
360,0,0.500078,0.500005,0.00085437,8.43567e-05
360,1,0.661676,0.531287,-0.205963,0.160881
390,0,0.500092,0.500006,0.000919677,9.99407e-05
390,1,0.658451,0.533673,-0.224053,0.157252
420,0,0.500106,0.500008,0.00098368,0.00011711
420,1,0.654954,0.536002,-0.242371,0.153225
450,0,0.500121,0.50001,0.00104643,0.000136044
450,1,0.651179,0.538268,-0.260957,0.148757
480,0,0.500137,0.500012,0.00110787,0.000156845
480,1,0.647123,0.540463,-0.279835,0.143815
510,0,0.500154,0.500015,0.00116801,0.00017967
510,1,0.642782,0.54258,-0.299033,0.138357
540,0,0.500172,0.500017,0.00122683,0.000204688
540,1,0.638151,0.544611,-0.318574,0.132334
570,0,0.500191,0.500021,0.00128442,0.000232221
570,1,0.633223,0.546546,-0.338504,0.125669
600,0,0.500211,0.500024,0.0013408,0.000262523
600,1,0.627993,0.548377,-0.358855,0.118296
630,0,0.500231,0.500029,0.001396,0.000295869
630,1,0.622455,0.550091,-0.379655,0.110141
660,0,0.500253,0.500033,0.00145012,0.000332767
660,1,0.616601,0.551677,-0.400946,0.101093
690,0,0.500275,0.500039,0.00150325,0.000373761
690,1,0.610424,0.553119,-0.422773,0.0910194
720,0,0.500298,0.500045,0.00155548,0.000419519
720,1,0.603915,0.554402,-0.44517,0.0797657
750,0,0.500322,0.500051,0.00160691,0.000470862
750,1,0.597066,0.555505,-0.468174,0.0671467
780,0,0.500346,0.500059,0.00165757,0.000528703
780,1,0.589867,0.556408,-0.491811,0.0529487
810,0,0.500371,0.500067,0.00170747,0.0005944
810,1,0.582308,0.557084,-0.516097,0.0368791
840,0,0.500397,0.500077,0.00175646,0.000669574
840,1,0.574381,0.557503,-0.541019,0.0185702
870,0,0.500424,0.500087,0.00180414,0.000756435
870,1,0.566075,0.557628,-0.566515,-0.00244717
900,0,0.500451,0.500099,0.00184977,0.000857674
900,1,0.557383,0.557413,-0.592436,-0.0267725
930,0,0.500479,0.500113,0.00189171,0.000976957
930,1,0.548301,0.556804,-0.618481,-0.0551789
960,0,0.500508,0.500129,0.00192715,0.00111884
960,1,0.538831,0.555733,-0.644069,-0.088652
990,0,0.500537,0.500147,0.00195067,0.00128911
990,1,0.528987,0.554114,-0.668112,-0.128404
1020,0,0.500567,0.500168,0.00195387,0.00149443
1020,1,0.518804,0.551842,-0.688912,-0.175807
1050,0,0.500596,0.500192,0.00192095,0.00174034
1050,1,0.508351,0.548795,-0.703338,-0.232071
1080,0,0.500624,0.50022,0.0018276,0.00202349
1080,1,0.49776,0.544838,-0.706497,-0.29667
1110,0,0.50065,0.500253,0.00164732,0.00232279
1110,1,0.48724,0.539872,-0.693063,-0.365511
1140,0,0.500673,0.50029,0.00136828,0.00259374
1140,1,0.477064,0.533896,-0.660571,-0.429754
1170,0,0.500691,0.50033,0.00100826,0.00279527
1170,1,0.467502,0.527043,-0.612239,-0.481358
1200,0,0.500703,0.500373,0.000602859,0.0029086
1200,1,0.458741,0.519537,-0.555142,-0.5166
1230,0,0.500709,0.500417,0.000189016,0.00293737
1230,1,0.450856,0.511623,-0.496419,-0.536327
1260,0,0.500709,0.500461,-0.00020872,0.0028987
1260,1,0.443832,0.503508,-0.440844,-0.543953
1290,0,0.500703,0.500504,-0.000579392,0.00281122
1290,1,0.437605,0.495346,-0.390443,-0.543198
1320,0,0.500691,0.500545,-0.000920389,0.00268981
1320,1,0.432092,0.487239,-0.345507,-0.536984
1350,0,0.500675,0.500584,-0.00123374,0.00254492
1350,1,0.427215,0.479253,-0.305532,-0.527308
1380,0,0.500654,0.500621,-0.00152238,0.00238298
1380,1,0.422905,0.471431,-0.269784,-0.515396
1410,0,0.50063,0.500656,-0.00178886,0.00220881
1410,1,0.419103,0.463798,-0.237652,-0.502115
1440,0,0.500601,0.500687,-0.00203544,0.00202499
1440,1,0.41576,0.456372,-0.208549,-0.487929
1470,0,0.500569,0.500716,-0.00226388,0.00183391
1470,1,0.412834,0.449163,-0.182024,-0.473234
1500,0,0.500533,0.500742,-0.00247557,0.00163689
1500,1,0.410288,0.442177,-0.157695,-0.458198
1530,0,0.500494,0.500765,-0.00267156,0.00143514
1530,1,0.408093,0.435418,-0.135252,-0.442988
1560,0,0.500453,0.500785,-0.0028527,0.00122968
1560,1,0.406223,0.428888,-0.114434,-0.427714
1590,0,0.500409,0.500802,-0.00301956,0.0010211
1590,1,0.404653,0.422587,-0.0950336,-0.412428
1620,0,0.500362,0.500816,-0.00317253,0.00080997
1620,1,0.403365,0.416515,-0.0768861,-0.39715
1650,0,0.500314,0.500827,-0.00331194,0.000596901
1650,1,0.402341,0.410672,-0.0598453,-0.381916
1680,0,0.500263,0.500834,-0.003438,0.000382402
1680,1,0.401565,0.405057,-0.0437842,-0.366747
1710,0,0.500211,0.500838,-0.00355087,0.000167003
1710,1,0.401023,0.399669,-0.0285975,-0.351648
1740,0,0.500157,0.500839,-0.00365059,-4.88553e-05
1740,1,0.400703,0.394507,-0.0142023,-0.336618
1770,0,0.500101,0.500837,-0.00373716,-0.000264721
1770,1,0.400594,0.38957,-0.000519397,-0.321658
1800,0,0.500045,0.500831,-0.00381061,-0.00048012
1800,1,0.400685,0.384857,0.0125188,-0.306762
1830,0,0.499987,0.500822,-0.00387084,-0.000694576
1830,1,0.400966,0.380367,0.024961,-0.291921
1860,0,0.499929,0.50081,-0.0039179,-0.000906613
1860,1,0.401431,0.376099,0.0368657,-0.277132
1890,0,0.49987,0.500795,-0.00395195,-0.00111535
