x,y,rho,V,Ex,Ey
0.0078125,0.0078125,6.13836802779e-32,7.57160792138e-07,-9.6836874798e-05,-9.69962879894e-05
0.0078125,0.015625,2.8231484296e-31,1.51556699983e-06,-0.000193833290234,-9.72352803293e-05
0.0078125,0.0234375,1.26710209388e-30,2.27646204728e-06,-0.000291148534525,-9.76331736009e-05
0.0078125,0.03125,5.54991858661e-30,3.04108533735e-06,-0.000388941386102,-9.81893182068e-05
0.0078125,0.0390625,2.37224054057e-29,3.81067014426e-06,-0.000487369846368,-9.89027873828e-05
0.0078125,0.046875,9.89527668314e-29,4.5864413902e-06,-0.000586590857596,-9.97723598307e-05
0.0078125,0.0546875,4.02804457602e-28,5.36961326662e-06,-0.000686760000972,-0.000100796497336
0.0078125,0.0625,1.60013896658e-27,6.16138666108e-06,-0.00078803116977,-0.00010197331734
0.0078125,0.0703125,6.20323511272e-27,6.96294635006e-06,-0.000890556212564,-0.000103300560434
0.0078125,0.078125,2.34679897568e-26,7.77545791787e-06,-0.000994484541414,-0.000104775552752
0.0078125,0.0859375,8.6642434241e-26,8.60006436181e-06,-0.00109996269988,-0.000106395163254
0.0078125,0.09375,3.12163778006e-25,9.43788234371e-06,-0.00120713388577,-0.000108155755907
0.0078125,0.1015625,1.09756810571e-24,1.02899980479e-05,-0.00131613742345,-0.000110053136809
0.0078125,0.109375,3.76597606855e-24,1.11574626063e-05,-0.00142710818077,-0.000112082496329
0.0078125,0.1171875,1.26101641755e-23,1.2041287053e-05,-0.00154017592555,-0.000114238346413
0.0078125,0.125,4.1206054548e-23,1.29424367691e-05,-0.00165546461685,-0.000116514453249
0.0078125,0.1328125,1.31400928122e-22,1.3861825385e-05,-0.00177309162655,-0.000118903765577
0.0078125,0.140625,4.08914903956e-22,1.48003081062e-05,-0.00189316688686,-0.000121398339048
0.0078125,0.1484375,1.24183688254e-21,1.57586744326e-05,-0.00201579196005,-0.000123989257122
0.0078125,0.15625,3.68038520371e-21,1.67376402487e-05,-0.00214105902713,-0.000126666549173
0.0078125,0.1640625,1.06443489933e-20,1.77378392635e-05,-0.002269049793,-0.000129419106621
0.0078125,0.171875,3.00429131119e-20,1.87598137897e-05,-0.00239983430635,-0.000132234598086
0.0078125,0.1796875,8.27488726314e-20,1.98040048585e-05,-0.00253346969391,-0.000135099384809
0.0078125,0.1875,2.22422765862e-19,2.08707416773e-05,-0.00266999880972,-0.000137998437784
0.0078125,0.1953125,5.83436366171e-19,2.19602304489e-05,-0.00280944880189,-0.000140915258347
0.0078125,0.203125,1.49349874392e-18,2.3072542589e-05,-0.00295182960109,-0.000143831804234
0.0078125,0.2109375,3.73089764945e-18,2.42076023901e-05,-0.00309713233706,-0.00014672842342
0.0078125,0.21875,9.09533952881e-18,2.53651742049e-05,-0.00324532769213,-0.000149583798403
0.0078125,0.2265625,2.16382235894e-17,2.65448492401e-05,-0.00339636420337,-0.000152374903888
0.0078125,0.234375,5.02367342792e-17,2.77460320782e-05,-0.00355016652811,-0.000155076981168
0.0078125,0.2421875,1.13819926952e-16,2.89679270709e-05,-0.00370663369134,-0.000157663532811
0.0078125,0.25,2.51658910938e-16,3.02095247784e-05,-0.00386563733665,-0.000160106341538
0.0078125,0.2578125,5.43004502281e-16,3.14695886574e-05,-0.00402702000729,-0.00016237551739
0.0078125,0.265625,1.14338280204e-15,3.27466422376e-05,-0.0041905934872,-0.000164439577479
0.0078125,0.2734375,2.34950832394e-15,3.40389570555e-05,-0.00435613723719,-0.000166265562615
0.0078125,0.28125,4.71150252063e-15,3.53445416534e-05,-0.00452339696505,-0.000167819195124
