N,Method,Hardware,Iterations,Time_s,Error
33,V-Cycle,CPU,10,0.021550,3.0575e-04
33,W-Cycle,CPU,5,0.112644,3.0575e-04
33,FMG,CPU,1,0.007199,9.0663e-05
33,SOR,CPU,1000,0.005382,2.8125e-04
65,V-Cycle,CPU,10,0.016680,7.8873e-05
65,W-Cycle,CPU,5,0.234320,7.8873e-05
65,FMG,CPU,1,0.008677,2.1336e-05
65,SOR,CPU,5000,0.039811,7.6582e-05
129,V-Cycle,CPU,10,0.019047,2.0029e-05
129,W-Cycle,CPU,5,0.436919,2.0029e-05
129,FMG,CPU,1,0.010186,5.2455e-06
129,SOR,CPU,20000,0.400425,1.7695e-05
257,V-Cycle,CPU,5,0.016221,4.6789e-06
257,W-Cycle,CPU,2,0.340910,5.0444e-06
257,FMG,CPU,1,0.013160,1.3081e-06
257,SOR,CPU,20000,1.117181,1.9777e-02
513,V-Cycle,CPU,5,0.023126,8.9705e-07
513,W-Cycle,CPU,2,0.315497,1.2665e-06
513,FMG,CPU,1,0.011428,3.2730e-07
513,SOR,CPU,20000,3.247529,1.9013e-01
1025,V-Cycle,CPU,5,0.082983,5.3086e-08
1025,W-Cycle,CPU,2,0.648574,3.1726e-07
1025,FMG,CPU,1,0.029936,8.1910e-08
1025,SOR,CPU,20000,13.044561,3.3509e-01
2049,V-Cycle,CPU,5,0.381649,2.9134e-07
2049,W-Cycle,CPU,2,1.401524,7.9395e-08
2049,FMG,CPU,1,0.122450,2.0492e-08
2049,SOR,CPU,20000,78.279940,3.8628e-01
4097,V-Cycle,CPU,5,1.789540,3.5107e-07
4097,W-Cycle,CPU,2,3.388706,1.9859e-08
4097,FMG,CPU,1,0.544971,5.1252e-09
8193,V-Cycle,CPU,5,7.113936,3.6605e-07
8193,W-Cycle,CPU,2,9.077839,4.9657e-09
8193,FMG,CPU,1,2.215661,1.2822e-09
16385,V-Cycle,CPU,5,30.226105,3.6982e-07
16385,FMG,CPU,1,8.938234,3.1584e-10
32769,V-Cycle,CPU,5,113.364263,3.7077e-07
32769,FMG,CPU,1,34.137457,6.4583e-10
33,V-Cycle,CPU,10,0.013449,3.0575e-04
33,W-Cycle,CPU,5,0.054341,3.0575e-04
33,FMG,CPU,1,0.002911,9.0663e-05
33,SOR,CPU,1000,0.002155,2.8125e-04
65,V-Cycle,CPU,10,0.006611,7.8873e-05
65,W-Cycle,CPU,5,0.090864,7.8873e-05
65,FMG,CPU,1,0.003550,2.1336e-05
65,SOR,CPU,5000,0.019056,7.6582e-05
129,V-Cycle,CPU,10,0.007732,2.0029e-05
129,W-Cycle,CPU,5,0.185550,2.0029e-05
129,FMG,CPU,1,0.004298,5.2455e-06
129,SOR,CPU,20000,0.213070,1.7695e-05
257,V-Cycle,CPU,5,0.006441,4.6789e-06
257,W-Cycle,CPU,2,0.141704,5.0444e-06
257,FMG,CPU,1,0.005867,1.3081e-06
257,SOR,CPU,20000,0.887842,1.9777e-02
513,V-Cycle,CPU,5,0.016843,8.9705e-07
513,W-Cycle,CPU,2,0.297353,1.2665e-06
513,FMG,CPU,1,0.009585,3.2730e-07
513,SOR,CPU,20000,3.420167,1.9013e-01
1025,V-Cycle,CPU,5,0.081838,5.3086e-08
1025,W-Cycle,CPU,2,0.613350,3.1726e-07
1025,FMG,CPU,1,0.029994,8.1910e-08
1025,SOR,CPU,20000,13.944187,3.3509e-01
2049,V-Cycle,CPU,5,0.383732,2.9134e-07
2049,W-Cycle,CPU,2,1.326372,7.9395e-08
2049,FMG,CPU,1,0.121287,2.0492e-08
2049,SOR,CPU,20000,75.809693,3.8628e-01
4097,V-Cycle,CPU,5,1.738201,3.5107e-07
4097,W-Cycle,CPU,2,3.237727,1.9859e-08
4097,FMG,CPU,1,0.537767,5.1252e-09
8193,V-Cycle,CPU,5,6.950896,3.6605e-07
8193,W-Cycle,CPU,2,8.747655,4.9657e-09
8193,FMG,CPU,1,2.554324,1.2822e-09
16385,V-Cycle,CPU,5,32.583877,3.6982e-07
16385,FMG,CPU,1,10.149055,3.1584e-10
32769,V-Cycle,CPU,5,113.764297,3.7077e-07
32769,FMG,CPU,1,33.883676,6.4583e-10
33,V-Cycle,CPU,10,0.012996,3.0575e-04
33,W-Cycle,CPU,5,0.053441,3.0575e-04
33,FMG,CPU,1,0.002979,9.0663e-05
33,SOR,CPU,1000,0.002072,2.8125e-04
65,V-Cycle,CPU,10,0.006701,7.8873e-05
65,W-Cycle,CPU,5,0.092422,7.8873e-05
65,FMG,CPU,1,0.003647,2.1336e-05
65,SOR,CPU,5000,0.019465,7.6582e-05
129,V-Cycle,CPU,10,0.007951,2.0029e-05
129,W-Cycle,CPU,5,0.187709,2.0029e-05
129,FMG,CPU,1,0.004296,5.2455e-06
129,SOR,CPU,20000,0.215150,1.7695e-05
257,V-Cycle,CPU,5,0.006450,4.6789e-06
257,W-Cycle,CPU,2,0.141759,5.0444e-06
257,FMG,CPU,1,0.005961,1.3081e-06
257,SOR,CPU,20000,0.846899,1.9777e-02
513,V-Cycle,CPU,5,0.021083,8.9705e-07
513,W-Cycle,CPU,2,0.308671,1.2665e-06
513,FMG,CPU,1,0.010079,3.2730e-07
513,SOR,CPU,20000,3.583429,1.9013e-01
1025,V-Cycle,CPU,5,0.082392,5.3086e-08
1025,W-Cycle,CPU,2,0.634414,3.1726e-07
1025,FMG,CPU,1,0.030219,8.1910e-08
1025,SOR,CPU,20000,14.486346,3.3509e-01
2049,V-Cycle,CPU,5,0.381939,2.9134e-07
2049,W-Cycle,CPU,2,1.365086,7.9395e-08
2049,FMG,CPU,1,0.117800,2.0492e-08
2049,SOR,CPU,20000,79.268882,3.8628e-01
4097,V-Cycle,CPU,5,1.764380,3.5107e-07
4097,W-Cycle,CPU,2,3.197651,1.9859e-08
4097,FMG,CPU,1,0.537533,5.1252e-09
8193,V-Cycle,CPU,5,7.076585,3.6605e-07
8193,W-Cycle,CPU,2,9.634798,4.9657e-09
8193,FMG,CPU,1,2.583408,1.2822e-09
16385,V-Cycle,CPU,5,32.792603,3.6982e-07
16385,FMG,CPU,1,10.651024,3.1584e-10
32769,V-Cycle,CPU,5,108.967426,3.7077e-07
32769,FMG,CPU,1,40.320143,6.4583e-10
