N,Method,Hardware,Iterations,Time_s,Error
33,V-Cycle,GPU,10,0.510826,3.0575e-04
33,FMG,GPU,1,0.014884,9.0663e-05
65,V-Cycle,GPU,10,0.034992,7.8873e-05
65,FMG,GPU,1,0.018448,2.1336e-05
129,V-Cycle,GPU,10,0.034370,2.0029e-05
129,FMG,GPU,1,0.021476,5.2455e-06
257,V-Cycle,GPU,5,0.018403,4.6789e-06
257,FMG,GPU,1,0.025088,1.3081e-06
513,V-Cycle,GPU,5,0.035285,8.9705e-07
513,FMG,GPU,1,0.035452,3.2730e-07
1025,V-Cycle,GPU,5,0.072377,5.3086e-08
1025,FMG,GPU,1,0.060446,8.1910e-08
2049,V-Cycle,GPU,5,0.146879,2.9134e-07
2049,FMG,GPU,1,0.117798,2.0492e-08
4097,V-Cycle,GPU,5,0.467862,3.5107e-07
4097,FMG,GPU,1,0.270623,5.1252e-09
8193,V-Cycle,GPU,5,1.885363,3.6605e-07
8193,FMG,GPU,1,0.926917,1.2822e-09
16385,V-Cycle,GPU,5,7.836179,3.6982e-07
16385,FMG,GPU,1,3.475743,3.1584e-10
32769,V-Cycle,GPU,5,60.795693,3.7077e-07
32769,FMG,GPU,1,20.587238,6.4583e-10
33,V-Cycle,GPU,10,0.030241,3.0575e-04
33,FMG,GPU,1,0.014683,9.0663e-05
65,V-Cycle,GPU,10,0.032561,7.8873e-05
65,FMG,GPU,1,0.018092,2.1336e-05
129,V-Cycle,GPU,10,0.033201,2.0029e-05
129,FMG,GPU,1,0.021438,5.2455e-06
257,V-Cycle,GPU,5,0.018742,4.6789e-06
257,FMG,GPU,1,0.025142,1.3081e-06
513,V-Cycle,GPU,5,0.035611,8.9705e-07
513,FMG,GPU,1,0.034692,3.2730e-07
1025,V-Cycle,GPU,5,0.074495,5.3086e-08
1025,FMG,GPU,1,0.057215,8.1910e-08
2049,V-Cycle,GPU,5,0.160518,2.9134e-07
2049,FMG,GPU,1,0.117403,2.0492e-08
4097,V-Cycle,GPU,5,0.502252,3.5107e-07
4097,FMG,GPU,1,0.300762,5.1252e-09
8193,V-Cycle,GPU,5,1.886175,3.6605e-07
8193,FMG,GPU,1,0.941143,1.2822e-09
16385,V-Cycle,GPU,5,7.307908,3.6982e-07
16385,FMG,GPU,1,3.651143,3.1584e-10
32769,V-Cycle,GPU,5,66.967069,3.7077e-07
32769,FMG,GPU,1,22.794633,6.4583e-10
33,V-Cycle,GPU,10,0.030301,3.0575e-04
33,FMG,GPU,1,0.014366,9.0663e-05
65,V-Cycle,GPU,10,0.031293,7.8873e-05
65,FMG,GPU,1,0.017460,2.1336e-05
129,V-Cycle,GPU,10,0.032438,2.0029e-05
129,FMG,GPU,1,0.020087,5.2455e-06
257,V-Cycle,GPU,5,0.017676,4.6789e-06
257,FMG,GPU,1,0.024423,1.3081e-06
513,V-Cycle,GPU,5,0.036516,8.9705e-07
513,FMG,GPU,1,0.034143,3.2730e-07
1025,V-Cycle,GPU,5,0.072130,5.3086e-08
1025,FMG,GPU,1,0.057090,8.1910e-08
2049,V-Cycle,GPU,5,0.143359,2.9134e-07
2049,FMG,GPU,1,0.114022,2.0492e-08
4097,V-Cycle,GPU,5,0.451382,3.5107e-07
4097,FMG,GPU,1,0.267002,5.1252e-09
8193,V-Cycle,GPU,5,1.745850,3.6605e-07
8193,FMG,GPU,1,0.900194,1.2822e-09
16385,V-Cycle,GPU,5,7.279100,3.6982e-07
16385,FMG,GPU,1,3.329004,3.1584e-10
32769,V-Cycle,GPU,5,70.106482,3.7077e-07
32769,FMG,GPU,1,24.739950,6.4583e-10
