N,Method,Hardware,Iterations,Time_s,Error
33,V-Cycle,MPI-1P,10,0.013902,3.3675e+03
33,W-Cycle,MPI-1P,5,0.052948,7.4926e+05
33,FMG,MPI-1P,1,0.003047,7.1644e+00
33,SOR,MPI-1P,1000,0.003153,2.8125e-04
65,V-Cycle,MPI-1P,10,0.007057,4.8806e+03
65,W-Cycle,MPI-1P,5,0.096780,1.6395e+12
65,FMG,MPI-1P,1,0.003781,2.0148e+01
65,SOR,MPI-1P,5000,0.043253,7.6582e-05
129,V-Cycle,MPI-1P,10,0.011090,5.4006e+03
129,W-Cycle,MPI-1P,5,0.196002,7.0618e+24
129,FMG,MPI-1P,1,0.005164,5.4210e+01
129,SOR,MPI-1P,20000,0.613192,1.7695e-05
257,V-Cycle,MPI-1P,5,0.015544,4.6513e+01
257,W-Cycle,MPI-1P,2,0.161600,6.3614e+19
257,FMG,MPI-1P,1,0.008878,1.4301e+02
513,V-Cycle,MPI-1P,5,0.057020,4.6799e+01
513,W-Cycle,MPI-1P,2,0.338798,1.0100e+40
513,FMG,MPI-1P,1,0.023654,3.7400e+02
1025,V-Cycle,MPI-1P,5,0.179664,4.6917e+01
1025,FMG,MPI-1P,1,0.064712,9.7425e+02
2049,V-Cycle,MPI-1P,5,0.747820,4.6969e+01
2049,FMG,MPI-1P,1,0.244674,2.5335e+03
33,V-Cycle,MPI-2P,10,0.014002,7.5029e+02
33,W-Cycle,MPI-2P,5,0.054273,3.0566e+04
33,FMG,MPI-2P,1,0.003176,3.5331e+00
33,SOR,MPI-2P,1000,0.004630,2.8125e-04
65,V-Cycle,MPI-2P,10,0.007235,1.3201e+03
65,W-Cycle,MPI-2P,5,0.099183,2.1060e+09
65,FMG,MPI-2P,1,0.003897,8.7726e+00
65,SOR,MPI-2P,5000,0.036651,7.6582e-05
129,V-Cycle,MPI-2P,10,0.008944,1.6053e+03
129,W-Cycle,MPI-2P,5,0.199298,7.4901e+18
129,FMG,MPI-2P,1,0.004933,2.0640e+01
129,SOR,MPI-2P,20000,0.377262,1.7695e-05
257,V-Cycle,MPI-2P,5,0.009375,1.9371e+01
257,W-Cycle,MPI-2P,2,0.162941,9.2453e+14
257,FMG,MPI-2P,1,0.007207,4.7790e+01
513,V-Cycle,MPI-2P,5,0.030630,1.9903e+01
513,W-Cycle,MPI-2P,2,0.329605,1.2168e+30
513,FMG,MPI-2P,1,0.014746,1.1371e+02
1025,V-Cycle,MPI-2P,5,0.102034,2.0249e+01
1025,FMG,MPI-2P,1,0.040536,2.7745e+02
2049,V-Cycle,MPI-2P,5,0.365149,2.0408e+01
2049,FMG,MPI-2P,1,0.123290,6.8741e+02
33,V-Cycle,MPI-4P,10,0.015676,7.3393e+01
33,W-Cycle,MPI-4P,5,0.053966,7.4809e+02
33,FMG,MPI-4P,1,0.003176,1.3339e+00
33,SOR,MPI-4P,1000,0.005709,2.8125e-04
65,V-Cycle,MPI-4P,10,0.007144,9.6735e+01
65,W-Cycle,MPI-4P,5,0.098023,7.4211e+05
65,FMG,MPI-4P,1,0.004077,2.7715e+00
65,SOR,MPI-4P,5000,0.037176,7.6582e-05
129,V-Cycle,MPI-4P,10,0.008589,2.0041e+02
129,W-Cycle,MPI-4P,5,0.197190,2.8359e+11
129,FMG,MPI-4P,1,0.004731,5.1155e+00
129,SOR,MPI-4P,20000,0.294994,1.7695e-05
257,V-Cycle,MPI-4P,5,0.005929,4.5941e+00
257,W-Cycle,MPI-4P,2,0.159958,6.7823e+08
257,FMG,MPI-4P,1,0.006485,8.7069e+00
513,V-Cycle,MPI-4P,5,0.017570,4.8218e+00
513,W-Cycle,MPI-4P,2,0.324666,1.3052e+17
513,FMG,MPI-4P,1,0.011009,1.6384e+01
1025,V-Cycle,MPI-4P,5,0.077278,4.9942e+00
1025,FMG,MPI-4P,1,0.029963,3.4664e+01
2049,V-Cycle,MPI-4P,5,0.245532,5.1288e+00
2049,FMG,MPI-4P,1,0.084308,8.0214e+01
33,V-Cycle,MPI-8P,10,0.016550,1.7985e+01
33,W-Cycle,MPI-8P,5,0.053455,1.8611e+01
33,FMG,MPI-8P,1,0.003184,4.7795e-01
33,SOR,MPI-8P,1000,0.005282,2.8125e-04
65,V-Cycle,MPI-8P,10,0.007056,1.8505e+01
65,W-Cycle,MPI-8P,5,0.097378,6.1280e+02
65,FMG,MPI-8P,1,0.003894,9.6590e-01
65,SOR,MPI-8P,5000,0.031592,7.6582e-05
129,V-Cycle,MPI-8P,10,0.007716,1.5787e+01
129,W-Cycle,MPI-8P,5,0.193828,2.0753e+05
129,FMG,MPI-8P,1,0.004661,1.6448e+00
129,SOR,MPI-8P,20000,0.209284,1.7695e-05
257,V-Cycle,MPI-8P,5,0.004712,1.5720e+00
257,W-Cycle,MPI-8P,2,0.156369,5.7834e+03
257,FMG,MPI-8P,1,0.005655,2.4539e+00
513,V-Cycle,MPI-8P,5,0.009605,1.7675e+00
513,W-Cycle,MPI-8P,2,0.315160,3.7129e+07
513,FMG,MPI-8P,1,0.008058,3.5597e+00
1025,V-Cycle,MPI-8P,5,0.035082,1.9760e+00
1025,FMG,MPI-8P,1,0.017236,6.5867e+00
2049,V-Cycle,MPI-8P,5,0.114146,2.0491e+00
2049,FMG,MPI-8P,1,0.042223,1.3831e+01
33,V-Cycle,MPI-16P,10,0.016874,2.0549e+01
33,W-Cycle,MPI-16P,5,0.054264,2.6181e+00
33,FMG,MPI-16P,1,0.003216,1.8125e-01
33,SOR,MPI-16P,1000,0.005089,2.8125e-04
65,V-Cycle,MPI-16P,10,0.007227,1.3362e+01
65,W-Cycle,MPI-16P,5,0.100185,1.7274e+01
65,FMG,MPI-16P,1,0.003890,4.5277e-01
65,SOR,MPI-16P,5000,0.028487,7.6582e-05
129,V-Cycle,MPI-16P,10,0.007689,1.0183e+01
129,W-Cycle,MPI-16P,5,0.196421,4.3864e+02
129,FMG,MPI-16P,1,0.004714,8.2819e-01
129,SOR,MPI-16P,20000,0.170069,1.7695e-05
257,V-Cycle,MPI-16P,5,0.004492,9.7431e-01
257,W-Cycle,MPI-16P,2,0.157504,6.8600e+01
257,FMG,MPI-16P,1,0.005655,1.3001e+00
513,V-Cycle,MPI-16P,5,0.006915,1.0439e+00
513,W-Cycle,MPI-16P,2,0.317825,9.2204e+02
513,FMG,MPI-16P,1,0.007348,1.7779e+00
1025,V-Cycle,MPI-16P,5,0.017960,1.2353e+00
1025,FMG,MPI-16P,1,0.011982,2.4970e+00
2049,V-Cycle,MPI-16P,5,0.071821,1.4092e+00
2049,FMG,MPI-16P,1,0.028719,4.6720e+00
33,V-Cycle,MPI-32P,10,0.017318,3.0575e-04
33,W-Cycle,MPI-32P,5,0.054337,3.0575e-04
33,FMG,MPI-32P,1,0.003271,9.0663e-05
33,SOR,MPI-32P,1000,0.006949,2.8125e-04
65,V-Cycle,MPI-32P,10,0.007946,2.4996e+01
65,W-Cycle,MPI-32P,5,0.098411,2.8304e+00
65,FMG,MPI-32P,1,0.004092,1.8884e-01
65,SOR,MPI-32P,5000,0.029242,7.6582e-05
129,V-Cycle,MPI-32P,10,0.008371,1.2230e+01
129,W-Cycle,MPI-32P,5,0.196477,1.6797e+01
129,FMG,MPI-32P,1,0.004893,4.4818e-01
129,SOR,MPI-32P,20000,0.166030,1.7695e-05
257,V-Cycle,MPI-32P,5,0.004626,1.1378e+00
257,W-Cycle,MPI-32P,2,0.158032,5.8032e+00
257,FMG,MPI-32P,1,0.005851,7.9312e-01
513,V-Cycle,MPI-32P,5,0.005929,8.1840e-01
513,W-Cycle,MPI-32P,2,0.318717,5.9914e+01
513,FMG,MPI-32P,1,0.007349,1.2134e+00
1025,V-Cycle,MPI-32P,5,0.013694,9.2846e-01
1025,FMG,MPI-32P,1,0.010699,1.6145e+00
2049,V-Cycle,MPI-32P,5,0.048516,1.1122e+00
2049,FMG,MPI-32P,1,0.021468,2.2504e+00
33,V-Cycle,MPI-64P,10,0.017209,3.0575e-04
33,W-Cycle,MPI-64P,5,0.054509,3.0575e-04
33,FMG,MPI-64P,1,0.003252,9.0663e-05
33,SOR,MPI-64P,1000,0.007816,2.8125e-04
65,V-Cycle,MPI-64P,10,0.010796,7.8873e-05
65,W-Cycle,MPI-64P,5,0.099607,7.8873e-05
65,FMG,MPI-64P,1,0.004273,2.1336e-05
65,SOR,MPI-64P,5000,0.040947,7.6582e-05
129,V-Cycle,MPI-64P,10,0.012766,2.6454e+01
129,W-Cycle,MPI-64P,5,0.199911,2.9073e+00
129,FMG,MPI-64P,1,0.005397,1.9231e-01
129,SOR,MPI-64P,20000,0.216248,1.7695e-05
257,V-Cycle,MPI-64P,5,0.005613,1.4668e+00
257,W-Cycle,MPI-64P,2,0.160795,1.0174e+00
257,FMG,MPI-64P,1,0.006562,4.4865e-01
513,V-Cycle,MPI-64P,5,0.006699,1.1005e+00
