N,Method,Hardware,Iterations,Time_s,Error
2049,V-Cycle,CPU-1T,5,0.559446,2.9134e-07
2049,FMG,CPU-1T,1,0.184705,2.0492e-08
2049,V-Cycle,CPU-2T,5,0.379940,2.9134e-07
2049,FMG,CPU-2T,1,0.117785,2.0492e-08
2049,V-Cycle,CPU-4T,5,0.314734,2.9134e-07
2049,FMG,CPU-4T,1,0.111198,2.0492e-08
2049,V-Cycle,CPU-8T,5,0.245678,2.9134e-07
2049,FMG,CPU-8T,1,0.088343,2.0492e-08
2049,V-Cycle,CPU-16T,5,0.225437,2.9134e-07
2049,FMG,CPU-16T,1,0.104289,2.0492e-08
2049,V-Cycle,CPU-32T,5,0.255929,2.9134e-07
2049,FMG,CPU-32T,1,0.135674,2.0492e-08
2049,V-Cycle,CPU-64T,5,0.268931,2.9134e-07
2049,FMG,CPU-64T,1,0.168351,2.0492e-08
2049,V-Cycle,CPU-144T,5,0.388121,2.9134e-07
2049,FMG,CPU-144T,1,0.387492,2.0492e-08
