N,Method,Hardware,Iterations,Time_s,Error
33,V-Cycle,CPU,10,0.496601,3.0575e-04
33,W-Cycle,CPU,5,2.774433,3.0575e-04
33,FMG,CPU,1,0.487464,9.0663e-05
33,SOR,CPU,1000,0.036721,2.8125e-04
65,V-Cycle,CPU,10,0.190408,7.8873e-05
65,W-Cycle,CPU,5,5.341761,7.8873e-05
65,FMG,CPU,1,0.108582,2.1336e-05
65,SOR,CPU,5000,0.216217,7.6582e-05
129,V-Cycle,CPU,10,0.205271,2.0029e-05
129,W-Cycle,CPU,5,14.713363,2.0029e-05
129,FMG,CPU,1,0.138311,5.2455e-06
129,SOR,CPU,20000,5.024640,1.7695e-05
257,V-Cycle,CPU,5,0.166337,4.6789e-06
257,W-Cycle,CPU,2,9.108291,5.0444e-06
257,FMG,CPU,1,0.354654,1.3081e-06
513,V-Cycle,CPU,5,0.143025,8.9705e-07
513,W-Cycle,CPU,2,40.534370,1.2665e-06
513,FMG,CPU,1,0.589171,3.2730e-07
1025,V-Cycle,CPU,5,0.160996,5.3086e-08
1025,FMG,CPU,1,0.462254,8.1910e-08
2049,V-Cycle,CPU,5,0.322038,2.9134e-07
2049,FMG,CPU,1,0.339025,2.0492e-08
