N,Method,Hardware,Iterations,Time_s,Error
33,V-Cycle,GPU,10,0.286528,3.0575e-04
33,FMG,GPU,1,0.013419,9.0663e-05
65,V-Cycle,GPU,10,0.028096,7.8873e-05
65,FMG,GPU,1,0.016204,2.1336e-05
129,V-Cycle,GPU,10,0.033312,2.0029e-05
129,FMG,GPU,1,0.019547,5.2455e-06
257,V-Cycle,GPU,5,0.015776,4.6789e-06
257,FMG,GPU,1,0.022451,1.3081e-06
513,V-Cycle,GPU,5,0.019748,8.9705e-07
513,FMG,GPU,1,0.028324,3.2730e-07
1025,V-Cycle,GPU,5,0.028952,5.3086e-08
1025,FMG,GPU,1,0.037176,8.1910e-08
2049,V-Cycle,GPU,5,0.054416,2.9134e-07
2049,FMG,GPU,1,0.058792,2.0492e-08
